code,act,section,description
19222,"MVA","162(1)","Follow too Closely"
19223,"MVA","162(2)","Commercial vehicle follow too closely"
19224,"MVA","162(3)","Fail to leave sufficient space between vehicle for"
19225,"MVA","162","Follow Too Closely"
19226,"MVA","163(a)","Drive over highway divider"
19227,"MVA","163(b)","Fail to keep right of divided highway"
19228,"MVA","163","Driving on Divided Highway"
19229,"MVA","164(1)","Enter controlled access highway"
19230,"MVA","164(2)","Leave controlled access highway"
19231,"MVA","164","Enter controlled access highway"
19232,"MVA","165(1)","Turning Right Keeping Close to Right Hand Curb"
19233,"MVA","165(2)(a)","Failing to Turn Left next to Center Line"
19234,"MVA","165(2)(b)","Improper left turn at intersection"
19404,"MVA","194(2)","Improperly seated passenger"
19268,"MVA","172(1)(a)","No proper signalling equipment for right hand driv"
19269,"MVA","172(1)(b)","No proper signalling equipment for right hand driv"
19335,"MVA","185(4)","Commercial vehicle no stop at railway"
19336,"MVA","185(5)(a)","Gear of vehicle must not require changing crossing"
19337,"MVA","185(5)(b)","Not shift gears of vehicle while crossing railroad"
19338,"MVA","185(5)(c)","Not stop with part of vehicle on or over the railr"
19339,"MVA","185(5)","Fail to proceed with caution at railway crossing"
19340,"MVA","185(6)","Railway Crossings"
19341,"MVA","186(a)","Disobey stop sign."
19342,"MVA","186(b)","Disobey stop sign."
19343,"MVA","186(c)","Disobey stop sign."
19344,"MVA","186","Disobey Stop Sign"
19345,"MVA","187(1)","Leaving Vehicle Stopped or Parked on Roadway"
19346,"MVA","187(2)","Parking and Obstructing Passage of Traffic"
19347,"MVA","187(3)","Where Parking Prohibited"
19348,"MVA","187","Where Parking Prohibited"
19349,"MVA","188(1)(a)","Police may move parked vehicle"
19350,"MVA","188(1)(b)","Police may move parked vehicle"
19351,"MVA","188(1)(c)","Police may move parked vehicle"
19352,"MVA","188(1)(d)","Parked vehicle interferes with normal flow of traf"
19353,"MVA","188(1)(e)","Police may move parked vehicle"
19354,"MVA","188(1)(f)","Police may move parked vehicle"
19355,"MVA","188(1)(g)","Police may move parked vehicle"
19356,"MVA","188(1)","Police may move parked vehicle"
19357,"MVA","188(2)(a)","Police may move parked vehicle"
19358,"MVA","188(2)(b)","Police may move parked vehicle"
19359,"MVA","188(2)(c)","Police may move parked vehicle"
19360,"MVA","188(2)","Police may move parked vehicle"
19361,"MVA","188(3)(a)","Police may move parked vehicle"
19363,"MVA","188(3)","Police may move parked vehicle"
19364,"MVA","189(1)(a)","Stopping or Parking on Sidewalk or Boulevard"
19365,"MVA","189(1)(b)","Block driveway"
19366,"MVA","189(1)(c)","Park in intersection"
19367,"MVA","189(1)(d)","Park near hydrant"
19368,"MVA","189(1)(e)","Park on crosswalk"
19369,"MVA","189(1)(f)","Park near crosswalk"
19205,"MVA","157(2)(a)","Fail to yeild for passing vehicle"
19206,"MVA","157(2)(b)","Increase speed while being passed"
19089,"MVA","130(1)(b)","Ped fail to yield to vehicle on green arrow"
19090,"MVA","130(1)","Fail to yield to green arrow"
19271,"MVA","172(1)","No proper signalling equipment for right hand driv"
19272,"MVA","172(2)","No proper signalling equipment for right hand driv"
19273,"MVA","172","No proper signalling equipment for right hand driv"
19274,"MVA","174","Failing to Yeild Right of Way on Left Turn"
19275,"MVA","175(1)(a)","Failing To Yeild while Entering Highway"
19276,"MVA","175(1)(b)","Fail to yield after stop."
19277,"MVA","175(1)","Fail to Yield After Stop"
19278,"MVA","175(2)","Fail to Yeild to Vehicle Leaving Stop"
19279,"MVA","175","Entering Through Highway"
19280,"MVA","176(1)","Emerging Vehicle Fail to Stop"
19281,"MVA","176(2)","Failing to Yield when Emerging from Alley"
19282,"MVA","176","Emerging From Alleys"
19283,"MVA","177","Approach of Emergency Vehicle"
19284,"MVA","178","Pedestrian disobey traffic control signal"
19285,"MVA","179(1)","Fail to Yield to Pedestrian"
19286,"MVA","179(2)","Pedestrian Unsafely Walking on to Street"
19287,"MVA","179(3)","Pass vehicle yielding to pedestrian"
19288,"MVA","179(4)(a)","Disobey school guard patrol"
19289,"MVA","179(4)(b)","Disobey school guard patrol"
19290,"MVA","179(4)","Disobey school guard patrol"
19291,"MVA","179","Rights of Way Between Vehicle and Pedestrian"
19292,"MVA","180","Pedestrian fail to yield to vehicle"
19293,"MVA","181(a)","Fail to exercise duty to pedestrian."
19294,"MVA","181(b)","Fail to exerise duty to pedestrain"
19295,"MVA","181(c)","Fail to exercise duty to pedestrian"
19296,"MVA","181","Duty of Driver"
19297,"MVA","182(1)","Pedestrian where prohibited"
19298,"MVA","182(2)","Pedestrian on wrong side of road"
19299,"MVA","182(3)","Pedestrian prohibited from solicit ride emp. bus."
19300,"MVA","182","Walking by pedestrian"
19301,"MVA","183(1)","Cycle Disobeying Rights and Duties"
18999,"MVA","212(2)","Nothing in this section limits any other provision"
19091,"MVA","130(2)(a)(i)","Fail to stop - yellow arrow - marked crosswalk"
19092,"MVA","130(2)(a)(ii)","Fail to stop yellow arrow - in intersection"
19093,"MVA","130(2)(a)","Fail to stop - yellow arrow - marked crosswalk"
19094,"MVA","130(2)(b)","Fail to yield - yellow arrow - pedestrian"
19095,"MVA","130(2)(c)","Fail to stop-yellow arrow-marked crosswalk"
19096,"MVA","130(2)(d)(i)","Fail to stop-yellow arrow-marked crosswalk"
19097,"MVA","130(2)(d)(ii)","Fail to stop-yellow arrow-marked crosswalk"
19098,"MVA","130(2)(d)","Fail to stop-yellow arrow-marked crosswalk"
19099,"MVA","130(2)","Fail to stop-yellow arrow-marked crosswalk"
19100,"MVA","130","Disobey green arrow"
19101,"MVA","131(1)(a)","Fail to Stop at Flashing Red Light"
19102,"MVA","131(1)(b)","Fail to stop-flashing red light"
19103,"MVA","131(1)","Flashing red light at intersection"
19104,"MVA","131(2)(a)(i)","Flashing red light no intersection"
19105,"MVA","131(2)(a)(ii)","Flashing red light - no intersection"
19106,"MVA","131(2)(a)","Flashing red light - no intersection"
19107,"MVA","131(2)(b)","Flashing red light - no intersection"
19108,"MVA","131(2)","Flashing red light - no intersection"
19109,"MVA","131(3)(a)","Yellow flashing light at intersection"
19110,"MVA","131(3)(b)","Fail to stop flashing yellow light"
19111,"MVA","131(3)","Yellow flashing light at intersection"
19112,"MVA","131(4)(a)","Yellow flashing light - no intersection"
19113,"MVA","131(4)(b)","Yellow flashing light no intersection"
19114,"MVA","131(4)","Yellow flashing light no intersection"
19115,"MVA","131(5)(a)","Fail to yield at green flashing light"
19116,"MVA","131(5)(b)","Fail to stop flashing red light"
19302,"MVA","183(2)(a)","Riding Cycle on Sidewalk"
19303,"MVA","183(2)(a.1)","Rights and Duties of Operator of Cycle"
19304,"MVA","183(2)(b)","Fail to ride cycle on right"
19305,"MVA","183(2)(c)","Cycle two abreast"
19306,"MVA","183(2)(d)","Cycle without at least one hand on the handlebars"
19307,"MVA","183(2)(e)","Disobey duties of cyclist"
19308,"MVA","183(2)(f)","Ride on hwy prohib by sign"
19309,"MVA","183(2)(g)","Ride cycle where prohibited"
19310,"MVA","183(2)","Rights and Duties of Operator of Cycle"
19311,"MVA","183(5)","Cycling while rider attached to vehicle"
19312,"MVA","183(6)","No Light when Dark"
19313,"MVA","183(14)(a)","Careless cycling"
19314,"MVA","183(14)(b)","Operating a Cycle With Undue Care and Attention"
19315,"MVA","183(14)","Operating a Cycle With Undue Care and Attention"
19316,"MVA","185(1)(a)","Failure to Stop at Railway Signal"
19317,"MVA","185(1)(b)","Fail to stop or leave safely at railway crossing"
19318,"MVA","185(1)(c)","Fail to stop or leave safely at railway crossing"
19319,"MVA","185(1)","Fail to stop or leave safely at railway crossing"
19320,"MVA","185(2)","Drive past railway crossing gate"
19321,"MVA","185(3)(a)(i)","Fail to stop at railway crossing"
19322,"MVA","185(3)(a)(ii)","Fail to Stop at Railway Crossing"
19323,"MVA","185(3)(a)","Fail to Stop at Railway Crossing"
19324,"MVA","185(3)(b)","Fail to stop at railway crossing"
19325,"MVA","185(3)","Fail to stop at railway crossing"
19326,"MVA","185(4)(a)","Commercial vehicle no stop at railway"
19327,"MVA","185(4)(b)","Commercial vehicle no stop at railway"
19328,"MVA","185(4)(c)","Commercial vehicle no stop at railway"
19329,"MVA","185(4)(d)","Commercial vehicle no stop at railway"
19330,"MVA","185(4)(e)(i)","Commercial vehicle no stop at railway"
19331,"MVA","185(4)(e)(ii)","Commercial vehicle no stop at railway"
19332,"MVA","185(4)(e)","Commercial vehicle no stop at railway"
19370,"MVA","189(1)(g)","Park near traffic control device"
19371,"MVA","189(1)(h)","Park by exit"
19372,"MVA","189(1)(i)","Unlaw. stop park on rail crossing"
18920,"MVA","224","Driving with more than 80 mg of alcohol in blood"
18921,"MVA","223(3)(b)","Canada Safety Standards - modification of vehicle"
18922,"MVA","223(3)(a)","Canada Safety Standards - install unsafe component"
18923,"MVA","223(3)","Canada Safety Standards - creation"
18924,"MVA","223(2)","Canada Safety Standards - dealer distributor mods"
18925,"MVA","223(1)","Canada Safety Standards - manufacturer standards"
18926,"MVA","221(1)","On a motorcycle without proper helmet"
18927,"MVA","221(2)","Helmet approved by superintendent"
18928,"MVA","220(10)","Seat belt assembly offence"
18929,"MVA","220(9)(a)","Required use of child seating"
18930,"MVA","220(9)(b)","Age of child for child seating"
18931,"MVA","220(9)(c)(i)","Excemption by type or class of motor vehicle"
18932,"MVA","220(9)(c)(ii)","Exemption for class or group of drivers passangers"
18933,"MVA","220(8)","Only the pelvic restraint need be worn"
18934,"MVA","220(7)(a)(i)","Valid and subsisting certificate by authorized psn"
18935,"MVA","220(7)(a)(ii)","Certificate issued for less than 6 monthes"
18936,"MVA","220(7)(a)(iii)","Person unable to wear seatbelt"
18937,"MVA","220(7)(a)(iv)","Unable to wear seatbelt due to size or build"
18938,"MVA","220(7)(b)","No seatbelt due to working conditions"
18939,"MVA","220(6)","Person between 6 and 16 wearing seat belt"
19000,"MVA","212(3)","Lieutenant Governor may make regulations"
19001,"MVA","212(4)(a)","Adopting with or without modification of provision"
19002,"MVA","212(4)(b)","Prohibiting unsafe vehicle"
19003,"MVA","212(4)(c)","Respecting safety certificates"
19004,"MVA","212(4)(d)","Superintendent monitors safety"
19005,"MVA","212(4)(e)","Compilation of information on safety"
19006,"MVA","212(4)(f)","Keeping safety records"
19007,"MVA","212(4)(g)","Inspection before and after prescribed journeys"
19008,"MVA","212(4)(h)","Restricting hours of operation of motor vehicle"
19009,"MVA","212(4)(i)","Agreements with outside parties regarding safety"
19010,"MVA","212(4)(j)(i)","Cancellation of licence."
19011,"MVA","212(4)(j)(ii)","Restrict or prohibit the use of motor vehicles"
19012,"MVA","212(4)(j)(iii)","Direct ICBC to cancel any licence or permit"
19408,"MVA","195(1)(a)","Drive while control obstructed"
19409,"MVA","195(1)(b)","Obstructed View of Driver"
19410,"MVA","195(1)","Drive while control obstructed"
19411,"MVA","195(2)","Obstruct driver"
19412,"MVA","195","Requirements for Moving Vehicle"
19413,"MVA","196","Improper operation of vehicle - canyon defuke moun"
19414,"MVA","197","Coasting down grade illegally"
19415,"MVA","198","Follow fire truck too closely or park near fire tr"
19416,"MVA","199","Drive Over Fire Hose"
19417,"MVA","200","Driving on Sidewalk"
19418,"MVA","201","Sign as evidence"
19420,"MVA","204(1)","Depositing articles on highway"
19421,"MVA","204(2)","Depositing Articles on Highway"
19422,"MVA","204(3)","Depositing articles on highway"
19423,"MVA","204","Depositing Articles on Highway"
19424,"MVA","205","Operate motor vehicle with less than minimum clear"
19425,"MVA","206(1)","Transporting explosives"
19426,"MVA","206(2)","Transporting explosives  - no sign"
19427,"MVA","206(3)","Explosives - no extinguishers"
19428,"MVA","206(4)","Transporting explosives"
19429,"MVA","206","Transporting explosives"
19430,"MVA","207(2)(a)","No warning devices"
19431,"MVA","207(2)(b)","No warning devices"
19432,"MVA","207(2)","Fail to carry required warning devices"
19433,"MVA","207(3)","Fail to use warning devices"
19487,"MVA","122(2)","Exemption for emergency vehicles"
19434,"MVA","207(1)","No warning devices"
19373,"MVA","189(1)(j)(i)","Park vehicle for sale"
19374,"MVA","189(1)(j)(ii)","Park where prohibited"
19375,"MVA","189(1)(j)(iii)","Unlaw. stop park to advertise"
19376,"MVA","189(1)(j)(iv)","Park on hwy to sell flowers,fr uits,veg,seafood,et"
19378,"MVA","189(1)(k)","Unlaw. stop park beside excavation"
19379,"MVA","189(1)(l)","Double parking"
19380,"MVA","189(1)(m)","Park on bridge or in tunnel"
19381,"MVA","189(1)(n)","Stopping where Sign Prohibiting"
19382,"MVA","189(1)(o)","Unlaw. stop park to obstruct sign"
19383,"MVA","189(1)","When Vehicle Stopping Prohibited"
19384,"MVA","189(2)","Unlaw. stop park where prohibited"
19385,"MVA","189(3)","When Vehicle Stopping Prohibited"
19386,"MVA","189","When Vehicle Stopping Prohibited"
19387,"MVA","190","Manner of Parking"
19388,"MVA","191(1)","Unsecured motor vehicle"
19389,"MVA","191(2)(a)","Leaving Parked Vehicle Unlocked"
19390,"MVA","191(2)(b)","Unsecured motor vehicle"
19391,"MVA","191(2)","Leaving Parked Vehicle"
19392,"MVA","191","Leaving Parked Vehicle"
19393,"MVA","192(1)","Park on private property"
19394,"MVA","192(2)","Parking on private property"
19395,"MVA","192(3)","Parking on private property"
19396,"MVA","192","Parking on private property"
19397,"MVA","193","Caution when Backing Vehicle"
19398,"MVA","194(1)","Operate motorcycle not on seat"
19399,"MVA","194(2)(a)","Improperly seated passenger"
19400,"MVA","194(2)(b)(i)","Motorcycle passenger not lawfully seated"
19401,"MVA","194(2)(b)(ii)","Motorcycle passenger not lawfully seated"
19402,"MVA","194(2)(b)(iii)","Motorcycle passenger not lawfully seated"
19403,"MVA","194(2)(b)","Motorcycle passenger not lawfully seated"
19405,"MVA","194(3)","Permit unlawfully seated passenger"
19406,"MVA","194(4)","Operate motorcycle more than 2 abreast"
19407,"MVA","194","Operate motorcycle not on seat"
19119,"MVA","132(1)","Disobey walk sign"
19120,"MVA","132(2)","Disobey walk sign"
19121,"MVA","132(3)(a)","Disobey walk sign"
19122,"MVA","132(3)(b)(i)","Disobey pedestrian controls"
19123,"MVA","132(3)(b)(ii)","Disobey pedestrian controls"
19124,"MVA","132(3)(b)","Disobey pedestrian controls"
19125,"MVA","132(3)","Disobey do not walk sign or walk against wait light"
19126,"MVA","132","Pedestrian controls"
19127,"MVA","133(a)","Pedestrian not in marked unmarked crosswalk"
19128,"MVA","133(b)","Disobey ped. controlled signal"
19129,"MVA","133","Pedestrian disobey control signal"
19130,"MVA","134","Failing to obey lane direction control signal"
19131,"MVA","135(1)","Fail maint unobstructed traff sign"
19132,"MVA","135(2)","Prohibited from erecting traffic control device on"
19133,"MVA","135(3)","Fail maint unobstructed traff sign"
19134,"MVA","135","Obstruction of signal prohibited"
19135,"MVA","136","Fail maint unobstructed traff sign"
19136,"MVA","137","Unlawful alteration of traffic control device"
19137,"MVA","138","No work in progress signs posted"
19138,"MVA","139","Erection of speed sign"
19139,"MVA","140","Driving Over Speed Limit"
19140,"MVA","141","Disobey Flagman"
19141,"MVA","142","Fail to remove temporary traffic control device"
19143,"MVA","144(1)","Careless Driving Prohibited"
19144,"MVA","144(2)","Careless Driving Prohibited"
19145,"MVA","144","Careless Driving Prohibited"
19146,"MVA","145(1)","Slow Driving to Impede Traffic"
19147,"MVA","145(2)","Slow driving"
19148,"MVA","145","Slow Driving"
19149,"MVA","146(1)","Speed in outside municipality"
19435,"MVA","208(2)","Fail to have required safety equipment"
19436,"MVA","208(1)(a)","Safety equipment snow tires"
19437,"MVA","208(1)(b)","Fail to have required safety equipment"
19438,"MVA","208(1)","Fail to have required safety equipment"
19439,"MVA","208(3)","Fail to have required safety equipment"
19440,"MVA","124(1)(a)","Municipal powers"
19441,"MVA","124(1)(b)","Municipal powers"
19442,"MVA","124(1)(c)","Municipal powers"
19443,"MVA","124(1)(d)","Municipal powers"
19444,"MVA","124(1)(e)","Municipal powers"
19445,"MVA","124(1)(f)","Municipal powers"
19446,"MVA","124(1)(g)","Municipal powers"
19447,"MVA","124(1)(h)","Municipal powers"
19448,"MVA","124(1)(i)","Municipal powers"
19449,"MVA","124(1)(j)","Municipal powers"
19450,"MVA","124(1)(k)","Municipal powers"
19451,"MVA","124(1)(l)","Municipal powers"
19452,"MVA","124(1)(m)","Municipal powers"
19453,"MVA","124(1)(n)","Municipal powers"
19454,"MVA","124(1)(o)","Municipal powers"
19455,"MVA","124(1)(p)","Municipal powers"
19456,"MVA","124(1)(q)","Municipal powers"
19457,"MVA","124(1)(r)","Municipal powers"
18940,"MVA","220(5)(a)","Driving in reverse without seatbelt"
19013,"MVA","212(5)","Publication in the Gazette of provisions of a code"
19014,"MVA","212(6)","Regulations general or particular under this sectn"
19458,"MVA","124(1)(s)","Municipal powers"
19459,"MVA","124(1)(t)","Municipal powers"
19460,"MVA","124(1)","Municipal powers"
19461,"MVA","124(4)(a)","Municipal powers"
19462,"MVA","124(4)(b)","Municipal powers"
19463,"MVA","124(4)(c)","Municipal powers"
19464,"MVA","124(4)","Municipal powers"
19465,"MVA","124(7)(a)","Municipal powers"
19466,"MVA","124(7)(b)","Municipal powers"
19467,"MVA","124(7)","Municipal powers"
19468,"MVA","124(10)","Municipal powers"
19469,"MVA","124(11)","Municipal powers"
19470,"MVA","124(12)(a)","Municipal powers"
19471,"MVA","124(12)(b)","Municipal powers"
19472,"MVA","124(12)(c)","Municipal powers"
19473,"MVA","124(12)","Municipal powers"
19474,"MVA","124(13)","Municipal powers"
19475,"MVA","123(a)","Fail to obey police direction"
19476,"MVA","123(b)","Fail to obey police direction"
19477,"MVA","123(c)","Fail to obey police direction"
19478,"MVA","123","Fail to obey Police Direction"
19479,"MVA","122(1)(a)","Exemption for emergency vehicles"
19480,"MVA","122(1)(b)","Exemption for emergency vehicles"
19481,"MVA","122(1)(c)","Exemption for emergency vehicles"
19483,"MVA","122(1)","Exemption for emergency vehicles"
19484,"MVA","122(2)(a)","Exemption for emergency vehicles"
19485,"MVA","122(2)(b)","Exemption for emergency vehicles"
19486,"MVA","122(2)(c)","Exemption for emergency vehicles"
18941,"MVA","220(5)(iv)","Unable to wear safety belt due to size or build"
18942,"MVA","220(5)(c)","No safety belt due to working conditions"
18943,"MVA","220(5)(d)","No safety belt for under 16."
18944,"MVA","220(1)","Seat belt assembly definition"
18945,"MVA","220(2)","Sale of motor vehicle without seatbelt"
18946,"MVA","220(3)","Operating a vehicle with fauly seatbelt assembly"
18947,"MVA","220(4)","Wearing seatbelt if it exists"
18948,"MVA","219(1)","Vehicle equipped in compliance with act"
18949,"MVA","219(2)(a)(i)","Inspection of vehicle by peace officer"
18950,"MVA","219(2)(a)(ii)","Tow a vehicle for inspection by peace officer"
18951,"MVA","219(2)(b)","Removal of inspection certificate for unsafe car"
18952,"MVA","219(3)","Unsafe vehicle not driven on highway"
18953,"MVA","219(4)(a)","Definition of owner"
18954,"MVA","219(4)(b)","Definition of owner"
18955,"MVA","218(a)","Superintendents standards and approvals"
18956,"MVA","218(b)","Superintendents standards and approvals"
18957,"MVA","218(c)","Superintendents standards and approvals"
18958,"MVA","218(d)","Superintendents standards and approvals"
18959,"MVA","217(1)(a)","Authorize person to inspect vehicle"
18960,"MVA","217(1)(b)","Designate facilities for inspection"
18961,"MVA","217(1)(c)","Perscribe standards of safety and repair"
19015,"MVA","211","Power to establish forms"
19016,"MVA","125","Obeying traffic controls"
19017,"MVA","126","Traffic control signals"
19018,"MVA","127(1)(a)(i)","Go through a green light"
19019,"MVA","127(1)(a)(ii)","Yield to a crosswalk even at a green light"
19020,"MVA","127(1)(a)(iii)","Yield to vehicles in intersection on green light"
19021,"MVA","127(1)(b)","Pedrestrian crossing at green light"
19022,"MVA","1271271271(2222)(bbb)(iiiii)","A pedestrian in a crosswalk must proceed quickly"
19023,"MVA","127(2)(c)(i)","Pedestrians do not cross on red light"
19024,"MVA","127(2)(c)(ii)","Pedestrian crosses when instructed to do so."
19025,"MVA","210(4)","Specific powers to make regulations"
19026,"MVA","210(5)","Specific powers to make regulations"
19027,"MVA","210(6)(a)","Specific powers to make regulations"
19028,"MVA","210(6)(b)","Specific powers to make regulations"
19029,"MVA","210(6)(c)","Specific powers to make regulations"
19030,"MVA","210(6)(d)","Specific powers to make regulations"
19031,"MVA","210(6)","Specific powers to make regulations"
19032,"MVA","210(9)(a)","Specific powers to make regulations"
19033,"MVA","210(9)(b)","Specific powers to make regulations"
19034,"MVA","210(9)(c)","Specific powers to make regulations"
19035,"MVA","210(9)","Specific powers to make regulations"
19117,"MVA","131(5)","Fail to yield at green flashing light"
19118,"MVA","131","Flashing Lights"
15929,"MVA","55(1)","Term and duration of licences"
15930,"MVA","45.2(1)(d)","No pollution control devices"
15931,"MVA","45.2(1)(c)","No pollution control devices"
15932,"MVA","45.2(1)(b)","No pollution control devices"
15933,"MVA","45.2(1)(a)","No pollution control devices"
15934,"MVA","42(3)","Misuse of repairman plate"
15935,"MVA","32(7)","Municipal Chauffer Permits"
15936,"MVA","42(1)","Misuse of repair plate"
15937,"MVA","43(4)","Driving demo vehicle - no consent"
15938,"MVA","45.2(2)(a)","No pollution control devices"
15939,"MVA","43(3)","Driving demo vehicle - no consent"
15940,"MVA","45(4)(c)","Pollution control devices on motor vehicles"
15941,"MVA","43(1)","Driving demo vehicle - no consent"
16309,"MVA","88(1)(a)","Driving while prohibited"
16310,"MVA","85(a)(i)","Prohibition against driving relating to fitness or"
16311,"MVA","86(1)(a)","Prohibition due to Failure to Comply with Act or U"
16312,"MVA","88(1)(b)","Driving while prohib suspended"
16314,"MVA","88(3)(b)","Driving while Suspended"
16315,"MVA","88(3)(a)","Driving while Suspended"
16317,"MVA","86(1)(a)(ii)","Prohibition due to Failure to Comply with Act or U"
16318,"MVA","86(1)(a)(i)","Prohibition due to Failure to Comply with Act or U"
15876,"MVA","23(6)(b)","Offences- Licences and Insurance"
15908,"MVA","24.1","Refusal to issue a licence, permit etc."
16035,"MVA","41","Operation of motor vehicle by customer"
19036,"MVA","210(10)","Specific powers to make regulations"
19150,"MVA","146(2)","Disregarding Speed Sign"
16161,"MVA","55(2.1)(d)","Term and duration of licences"
16137,"MVA","58","Recovery of licence fees"
16071,"MVA","72(c)","Arrest without warrant"
16282,"MVA","84(2)(a)","Prohibition against driving where unsatisfied judg"
15783,"MVA","93(12)(a)","Stay of prohibition against driving"
16240,"MVA","93(3)(b)","Stay of prohibition against driving"
16238,"MVA","93(5)","Stay of prohibition against driving"
15819,"MVA","95(5)(d)","Reporting conviction or judgment"
16727,"MVA","152.1","Excessive Speeding"
15674,"MVA","154(1)(e)","Fail to Keep Right"
16784,"MVA","193(1)","Park on private property"
15322,"MVA","216(4)(a)","Equipment of Motor Vehicles"
16338,"MVA","30(1)(b)","Fail to produce Drivers licence or insurance"
16389,"MVA","31(1)","Fail to obtain bc dl"
15833,"MVA","31.1(2)","Exemption-non resident driver"
16005,"MVA","34(2)(c)","Misuse - demonstration licence"
15969,"MVA","45.2(2)(c)","No pollution control devices"
16755,"MVA","166(2)","Leave controlled access highway"
16680,"MVA","170(b)(iv)","Illegal U-Turn"
15454,"MVA","186(1)","Railway Crossings"
15623,"MVA","209(3)","No warning devices"
11403,"MVA","77(2)","Give False Information"
16697,"MVA","171","Unsafe start"
16316,"MVA","88(3)","Driving while Suspended"
15803,"MVA","94","Driving while Prohibited by Court Order"
16260,"MVA","92.1(1)(b)","Fail to stop police pursuit"
18898,"MVA","230","Report of psychologist, optometrist & med practner"
18899,"MVA","230(a)","Dangerous to drive due to medical condition"
18900,"MVA","230(b)","Continue to drive after medical warning"
18962,"MVA","217(1)(d)","Exempt a vehicle from inspection"
18963,"MVA","217(2)(a)","Contrevention of section 1 is an offence"
18964,"MVA","217(2)(b)","Definition of penalty for inspection"
18965,"MVA","216(1)(a)","Make regulation requiring inspection"
18966,"MVA","216(1)(b)","Regulations for providing for notification"
18967,"MVA","216(1)(c)(i)","Duties of inspectors"
18968,"MVA","216(1)(c)(ii)","Cancellation or suspension by the superintendent"
18969,"MVA","216(1)(d)","Prescribing the form and period of certification"
18970,"MVA","216(1)(e)(i)","Fees for inspection of vehicle"
18971,"MVA","216(1)(e)(ii)","Charges payable for certification"
18972,"MVA","216(1)(f)(i)","Certification not presented"
18973,"MVA","216(1)(f)(ii)","Does not pass inspection"
18974,"MVA","216(1)(f)(iii)","Does not bear inspection certificate"
18975,"MVA","216(1)(g)","Maintenance of vehicles with prescribed standards"
18976,"MVA","216(1)(h)","Keeping records of vehicle inspection"
18977,"MVA","216(2)","Agreement with municipality to implement regs"
18978,"MVA","215(11)","24 hour prohibition report format"
18979,"MVA","215(10)","Report of prohibition delivered to superintendant"
18980,"MVA","215(9)","Peace officer need not hold opinion of bl alc. lvl"
18981,"MVA","215(8)","Prohibition from driving is terminated"
19037,"MVA","209(1)(a)","Regulations"
19038,"MVA","209(1)(b)","Regulations"
19039,"MVA","209(1)(c)","Regulations"
19040,"MVA","209(1)(d)","Regulations"
19041,"MVA","209(1)(e)","Regulations"
19042,"MVA","209(1)(f)","Regulations"
19043,"MVA","209(1)(g)","Regulations"
19044,"MVA","209(1)(h)","Regulations"
19045,"MVA","209(1)(i)","Regulations"
19046,"MVA","209(1)(j)","Regulations"
19047,"MVA","209(1)(k)","Regulations"
19048,"MVA","209(1)(l)","Regulations"
19049,"MVA","209(1)(m)","Regulations"
19050,"MVA","209(1)(n)","Regulations"
19051,"MVA","209(1)(o)","Regulations"
19052,"MVA","209(1)(p)","Regulations"
19053,"MVA","209(2)(a)","Regulations"
19054,"MVA","209(2)(b)","Regulations"
19055,"MVA","209(2)(c)","Regulations"
19056,"MVA","209(2)(d)","Regulations"
19057,"MVA","209(2)(e)","Regulations"
19058,"MVA","209(2)(f)","Regulations"
19059,"MVA","209(2)(g)","Regulations"
19060,"MVA","209(2)(h)","Regulations"
19061,"MVA","209(2)(i)","Regulations"
19062,"MVA","209(2)","Regulations"
19063,"MVA","209(3)","Use of television set while driving"
19151,"MVA","146(3)","Speed Against Highway Sign"
19152,"MVA","146(4)","Speed against area sign over 60 km h"
19153,"MVA","146(5)","Speed Against Area Sign"
19154,"MVA","146(6)","Speed Limits"
19155,"MVA","146(7)","Speed Against Munic. Sign"
19156,"MVA","146(8)","Speed Limits"
19157,"MVA","146(10)","Speed Limits"
19158,"MVA","146(11)","Speed on municipal lane"
19159,"MVA","147(1)","Exceeding 30 km h in school zone."
19160,"MVA","147(2)","Speeding through a Playground"
19161,"MVA","147","Schools and Playgrounds"
19162,"MVA","148(1)","Excessive Speeding on Highway"
19163,"MVA","148(2)","Excessive Speeding"
19164,"MVA","148","Excessive Speeding"
19165,"MVA","149(a)","Fail to stop for school bus"
19166,"MVA","149(b)","Fail to stop for school bus"
19167,"MVA","149(c)","Fail to stop for school bus"
19168,"MVA","149","Fail to stop for school bus"
19169,"MVA","150(1)(a)","Fail to keep right"
19170,"MVA","150(1)(b)","Fail to keep right"
19171,"MVA","150(1)(c)","Fail to keep to right"
19172,"MVA","150(1)(d)","Fail to keep right"
19173,"MVA","150(1)(e)(i)","Fail to Keep Right"
19174,"MVA","150(1)(e)(ii)","Fail to Keep Right"
19175,"MVA","150(1)(e)","Fail to Keep Right"
19176,"MVA","150(1)","Fail to Keep Right"
19177,"MVA","150(2)","Slow vehicle not on right"
19178,"MVA","150(3)","Fail to keep right of rotary - traffic island"
19179,"MVA","150","Driver on Right"
19180,"MVA","151(1)","Driving in HOV Lane"
19181,"MVA","151(a)","Unsafe lane change"
19182,"MVA","151(b)","Lane change solid line"
19183,"MVA","151(c)","Change lanes without signal"
19184,"MVA","151(d)","Left turn from wrong lane"
19185,"MVA","151(e)","Right turn from wrong lane"
19186,"MVA","151(f)","Unnecessary driving in centre lane"
19187,"MVA","151(g)","Illegal pass on laned roadway"
